ID,target
1,111.67718999323803
2,115.12025618449415
3,-25.381019455539352
4,-47.69724357779699
5,-99.96221902597453
6,-48.28001082554297
7,-79.50031871080647
8,20.426979355752376
9,171.2419757794392
10,170.2537290876181
11,-109.49642212371538
12,-24.439012545949147
13,-7.460026696847564
14,120.13017422177606
15,36.99445355856633
16,42.43172543681557
17,-194.18100047060298
18,19.207478497466546
19,8.179128105747647
20,133.54405517259963
21,61.740216933720234
22,-65.85018354977889
23,-112.30530853497807
24,-10.985120404488558
25,-62.3621065012584
26,8.431459816917673
27,25.865763415705533
28,104.74559843343731
29,20.743945152388942
30,-29.769874027786397
31,108.03524094198731
32,-48.649861769768805
33,214.44205297621082
34,-17.467375792111866
35,-233.3629870438324
36,152.20037860268772
37,-5.770467898592697
38,9.269008155584586
39,-313.49252456915616
40,73.9963648343563
41,-85.17530417342377
42,-211.27255107813028
43,-243.57426182825623
44,131.95133204020013
45,-77.6778170011086
46,102.49627104495418
47,-7.140235459238042
48,17.189888105918936
49,-102.074358555392
50,-31.19529924670749
51,7.351862010021951
52,-178.93405168633143
53,61.97878888051247
54,-101.86215091436209
55,-110.25233202001458
56,-160.3057220578722
57,59.34587193990715
58,105.69083426479666
59,-78.5354890686196
60,38.4436382755712
61,37.91713971216095
62,-54.60987775676914
63,162.2492164846514
64,40.2686089126654
65,53.7168844171593
66,20.71914761063403
67,78.58849884211453
68,-5.342208545766756
69,-6.640103136480114
70,-1.7076719903778865
71,-27.597954514883728
72,159.2146535444428
73,-44.75760735420431
74,18.14824375691697
75,-70.3159466433087
76,-73.17668061880981
77,33.673260465661116
78,-164.88332022701644
79,-5.2936795060540565
80,148.59695628420383
81,-41.754893488407546
82,-124.49336182127674
83,-199.00328095175288
84,33.11929375437666
85,143.6869342109443
86,269.36550348875164
87,-261.9069895398198
88,-92.55357118122548
89,73.14997952945336
90,-93.95123070434167
91,-53.205759368966426
92,122.72961243315879
93,-168.29714618927332
94,-120.97939712646186
95,45.451223297189884
96,95.16546833633407
97,-220.2696385233643
98,-125.46659988774793
99,-176.79980839869262
100,-55.06080154612779
101,125.15185047588133
102,-87.87255681179327
103,-7.474179539582341
104,-4.987701201458093
105,-3.459190608858105
106,77.62906526123571
107,41.22072861451869
108,89.42695518935727
109,-33.98343724608945
110,-88.12335599907486
111,35.28805160985553
112,14.856631283610005
113,114.5044078906753
114,4.2239500753771075
115,70.43627290350781
116,29.375607766054923
117,-146.70325955214943
118,3.7202267506853364
119,17.60099224776053
120,-26.437150749186596
121,-24.838184544654435
122,-260.6782888907254
123,265.3470712531465
124,152.35144786139077
125,10.892074793824206
126,80.439629807855
127,-15.735217243747897
128,-157.4455941150235
129,109.47525829456856
130,-35.74685759251294
131,-220.71389773004037
132,118.17890632944685
133,-33.578675934139795
134,-90.8289496387282
135,168.11625635263383
136,35.875142716955644
137,-22.959900502131394
138,58.56304988582411
139,42.79425490888427
140,-179.4990255708353
141,127.33083947207216
142,-76.72551023117977
143,209.70505346371098
144,132.54883728735138
145,-3.298579409964904
146,-158.19558891932306
147,-18.482363513736225
